client_code,client_label,label_type,address,zip_code,city,Longitude,latitude,radius
14346,NEVEU TRANSPORTS,Client,CS 70012,76810,LUNERAY,,,80
11810,LEADER PRICE,Client,RUE SAMUEL LECOEUR,76000,ROUEN,,,80
10258,AGRUFRUITS,Client,BAT B2 CASES12/13,76042,ROUEN CEDEX,,,80
2190,RTE TRANSPORT ELECTRICITE,Client,NORMANDIE PARIS,76153,MAROMME CEDEX,,,80
9314,SALICOQUE MAREE,Client,5 COURS DE DAKAR,76200,DIEPPE,,,80
8790,DE PATTEVILLE,Client,95 ROUTE DES TOURELLES,76550,SAUQUEVILLE,,,80
11159,SOPRAGGLO,Client,9 ROUTE DE BLANGY,76260,LONGROY,,,80
13268,DIEPPE ALUMINIUM,Client,ZI Louis Delaporte,76370,ROUXMESNIL BOUTEILLES,,,80
1579,KNAUF INDUSTRIES NORD,Client,ROUTE DE BARENTIN,76480,DUCLAIR,,,80
6082,LARIVIERE AGENCE DE DIEPPE,Client,CODE ORGANISATION : 280,76370,ROUXMESNIL BOUTEILLES,,,80
11323,MOONEN VAN MEER,Client,4 RUE DE L EGLISE,76740,HEBERVILLE,,,80
1408,MIS INDUSTRIE,Client,LE VILLAGE,76730,AUZOUVILLE SUR SAANE,,,80
799,HDI,Client,SITE DE BLANGY OUEST,76340,BLANGY SUR BRESLE,,,80
11638,COULEURS TOLLENS,Client,CHEMIN DES VERTUS,76200,DIEPPE,,,80
5509,GYPASS FERMETURE,Client,0,76630,ENVERMEU,,,80
5786,SNM,Client,BP 55,76340,BLANGY SUR BRESLE,,,80
6850,VERGER DE BEAUNAY,Client,G ET A BOUQUET,76590,BELMESNIL,,,80
13856,SOLOC RABOTAGE,Client,13 BIS ROUTE DU HAVRE,76150,ST JEAN DU CARDONNAY,,,80
6977,DE BRABANDERE,Client,24 RUE DES FLEURS,76450,BERTREVILLE,,,80
774,MASUREL POLLET*,Client,ZI FORGES LES EAUX,76440,LE FOSSE,,,80
2210,SOCIETE CIVILE DU YAUME,Client,FERME DU YAUME,76450,VEULETTES SUR MER,,,80
10381,VSR-F,Client,RD 925,76860,LONGUEIL,,,80
12088,GAMM VERT VILLAGE,Client,MAG 091,76220,FERRIERES EN BRAY,,,80
14888,IDEAL AUDIO,Client,109 SENTE DES MOINES,76550,SAUQUEVILLE,,,80
14300,PARIN PNEUS,Client,route de neufch�tel,76660,LONDINIERES,,,80
12087,GAMM VERT VILLAGE,Client,MAG 040,76560,DOUDEVILLE,,,80
14343,EN VERT LA TERRE,Client,191 ROUTE DE L ANCIENNE F,76730,SAANE ST JUST,,,80
11466,HENB,Client,165 RUE DU GENERAL DE GAU,76770,LE HOULME,,,80
13376,ACIALU MENUISERIES,Client,14 ZAC DU PARC,76770,MALAUNAY,,,80
6095,AUCHAN SUPERMARCHE SAS,Client,MAGASIN 1396,76380,CANTELEU,,,80
6566,LATEURTRE MENUISERIE,Client,"403, ROUTE DE VEULETTES",76450,PALUEL,,,80
1114,CRISTAL UNION,Client,SUCRERIE DE FONTAINE LE D,76740,FONTAINE LE DUN,,,80
11915,PG DIFFUSION,Client,2 Rue de l Ancien Port,76370,MARTIN EGLISE,,,80
13959,CIM USINAGE,Client,ZONE INDUSTRIELLE,76730,BACQUEVILLE EN CAUX,,,80
6587,MIN,Client,AVENUE DU CDT BICHERAY,76042,ROUEN CEDEX 01,,,80
14048,FRUITERIE COLBERT,Client,28 PLACE COLBERT,76130,MONT ST AIGNAN,,,80
8888,MAISONS LUCAS,Client,2 ROUTE DE NEUFCHATEL,76230,ISNEAUVILLE,,,80
9589,GTM NC,Client,ZA PLATEAU OUEST,76460,ST VALERY EN CAUX,,,80
6933,NIORT FRERES,Client,AUTODISTRIBUTION,76200,DIEPPE,,,80
6720,CARBON DECOR,Client,18 RUE MARCEL GAMOT,76200,DIEPPE,,,80
14266,PENET,Client,0,76150,MAROMME,,,80
11391,3882 GREUVILLE POINT P,Client,407 RUE DE L EGLISE,76810,GREUVILLE,,,80
10475,DJSL BOIS,Client,ZI RUE DES FRERES RENAULT,76730,BACQUEVILLE EN CAUX,,,80
