Nom,Code,Type,Adresse 1,Adresse 2,Adresse 3,CP,Ville
LOXAM,4523,Client,RUE DU LUXEMBOURG,ZAC DU BOIS DES COMMUNES,,27000,EVREUX
ACCELONIX,12674,Client,260 RUE CLEMENT ADER,ZAC DU LONG BUISSON,,27000,EVREUX
XPO DISTRIB FR,9280,Client,RUE MARYSE BASTIE,ZAC DU LONG BUISSON,,27000,EVREUX
LABORATOIRES LAFRAN,8734,Client,12 RUE JACQUARD,ZI  DE LA MADELEINE,,27000,EVREUX
ALU STEEL FRANCE,8051,Client,716 RUE LAVOISIER,ZI 2,,27000,EVREUX
ESVU,15610,Client,98 RUE JACQUES MONOD,ZI DE NETREVILLE,,27000,EVREUX
ADT,4628,Client,RUE GAY LUSSAC,ZI DE NETREVILLE,,27000,EVREUX
DEHEE COREP RIQUIER,15914,Client,409 RUE JACQUARD,ZI LA MADELEINE,,27000,EVREUX
BONAUD,5277,Client,202 RUE HENRI BECQUEREL,ZI N.2 EXTENSION,,27000,EVREUX
3868 EVREUX POINT P,8430,Client,12 RUE HENRI POINCARE,ZI N� 2,,27000,EVREUX
VARILLON LOGISTIQUE,2228,Client,258 RUE ALFRED NOBEL,ZI N�1,,27000,EVREUX
VARILLON DEMENAGEMENT,5207,Client,328 RUE ALFRED NOBEL,ZI N�1 NETREVILLE,,27000,EVREUX
NORMANDIE ACCESSOIRES,13989,Client,20 RUE JACQUARD,ZI N�2,,27000,EVREUX
ADEQUATION SECURITE,14460,Client,4 RUE JACQUARD,ZI N2 DE LA MADELEINE,,27000,EVREUX
REDER,8337,Client,135 RUE VULCAIN,ZI NETREVILLE,,27000,EVREUX
TRANS 2000,5445,Client,RUE GAY LUSSAC,ZI NETREVILLE,,27000,EVREUX
SEMAP Menuiseries,9167,Client,1 RUE DU GUESCLIN,,,27000,EVREUX
SFTL,9652,Client,10 RUE DE COCHEREL,,,27000,EVREUX
COTE CLOTURE,14514,Client,1101 RUE DE COCHEREL,,,27000,EVREUX
OZ ITIMAT,13458,Client,12 Impasse cocherel,,,27000,EVREUX
ASSOCIATION LA RONCE,15838,Client,13 RUE LAVOISIER,,,27000,EVREUX
S.U.H.T,13362,Client,150 RUE JEAN MONNET,,,27000,EVREUX
SONEPAR,5350,Client,180 ROUTE D ORLEANS,,,27000,EVREUX
LECLUSE AUTOMOBILES VOLKSWAGEN,12719,Client,180 ROUTE D ORLEANS,,,27000,EVREUX
Service logistique de l animat,15213,Client,19 RUE LAVOISIER,,,27000,EVREUX
ARCHIVES DEPARTEMENTALES,15204,Client,2 RUE DE VERDUN,,,27000,EVREUX
CARRELAGES 4000,5484,Client,21, RUE DE COCHEREL,,,27000,EVREUX
PEINTURE VALLEE DE SEINE,9000,Client,22 RUE HENRI BECQUEREL,,,27000,EVREUX
IPODEC CHEZ GSK EVREUX,15854,Client,23 RUE LAVOISIER,,,27000,EVREUX
FRAZZI,5205,Client,261, RUE JACQUARD,,,27000,EVREUX
TEAM RESEAU,4055,Client,28 RUE D AVRILLY,,,27000,EVREUX
EURO CIBUS MOZZALAT,10027,Client,28 RUE GAY LUSSAC,,,27000,EVREUX
ECR FRANCE,12417,Client,31 ROUTE DE CONCHES,,,27000,EVREUX
PRIMA  SUPER U,6429,Client,4, PL DE LA REPUBLIQUE,,,27000,EVREUX
*CREBILLER,5576,Client,4, PLACE DE LA REPUBLIQUE,,,27000,EVREUX
STINC,13029,Client,423. Rue de Cocherel,,,27000,EVREUX
ESAT LES ATELIERS DU BEFFROI,1946,Client,425 RUE JEAN MONNET,,,27000,EVREUX
VASSE TRANSFERT,8983,Client,489 RUE VULCAIN,,,27000,EVREUX
LOGI RENOV,9004,Client,60 RUE LEPOUZE,,,27000,EVREUX
FEA TECHNOLOGIE,13790,Client,698 RUE JACQUARD,,,27000,EVREUX
ARTH DISTRIBUTION,15784,Client,76 RUE DE LOME,,,27000,EVREUX
VIVIA DEVELOPPEMENT,7758,Client,766 RUE DE COCHEREL,,,27000,EVREUX
CARREAU DECO,10501,Client,853 RUE DE COCHEREL,,,27000,EVREUX
BRICORAMA,8803,Client,BLD DU 14 JUILLET,,,27000,EVREUX
MENAPHI INTERMARCHE,6690,Client,BOULEVARD DU 14 JUILLET,,,27000,EVREUX
MAEPSO,5532,Client,ROUTE DE FAUVILLE,,,27000,EVREUX
KAPP GRAPHIC,9340,Client,RUE DE L INDUSTRIE,,,27000,EVREUX
REVIVAL EVREUX,13387,Client,Rue du Bois des Communes,148 rue de Lom�,,,27000,EVREUX
MORIN,8015,Client,290 RUE ALBERTO SANTOS DUMONT,,,27000,EVREUX
MAIRIE D EVREUX DIRECTION DES AFFAIRES FINANCIERES,5033,Client,PLACE DU GENERALE DE GAULLE,,,27000,EVREUX
DELPHARM,1161,Client,5, RUE DU GUESLIN,,,27000,EVREUX
CHARLES RIVER LABORATOIRES,3757,Client,SERVICE COMPTABILITE,,,27000,EVREUX
SDIS DE L EURE,2619,Client,8,RUE DU DR M BAUDOUX,,,27000,EVREUX
CORA,11154,Client,BOULEVARD NORMANDIE,,,27000,EVREUX
CENTRE HOSPITALIER EURE SEINE,9566,Client,RUE LEON SCHWARTZENBERG,,,27000,EVREUX
SGVI,5920,Client,ZI N 1 - NETTREVILLE -,,,27000,EVREUX
COMPIN,314,Client,1, RUE DU GUESCLIN,,,27000,EVREUX
JEULIN,2046,Client,468 RUE JACQUES MONOD,,,27000,EVREUX
CLINIQUE PASTEUR,8011,Client,58 BLD PASTEUR,,,27000,EVREUX
LYCEE AUGUSTIN HEBERT,6520,Client,AV DUGUESCLIN,,,27000,EVREUX
APF ENTREPRISE ADAPTEE,53,Client,25 RUE JOLIOT CURIE,,,27000,EVREUX
SABENA TECHNICS,15700,Client,ROUTE DE PARIS + BASE 105,,,27000,EVREUX
BASE AERIENNE 105,12210,Client,ROUTE DE PARIS,,,27000,EVREUX
CONNECTEURS ELECTRIQUES DEUTSCH,267,Client,11 RUE LAVOISIER,,,27000,EVREUX
GLAXOWELLCOME PRODUCTION,8032,Client,23 RUE LAVOISIER,,,27000,EVREUX
GMS_EVREUX_N GLAXO WELLCOME FOURN 104588,1604,Client,23 RUE LAVOISIER - ZI N�2,,,27000,EVREUX
LARIVIERE AGENCE D EVREUX,667,Client,ZAC DU BOIS DES COMMUNES,RUE DU LUXEMBOURG,,27000,EVREUX
ATA LOGISTIQUE,1647,Client,VOIE DU FUTUR,FORET DE BORD,,27100,LE VAUDREUIL
SCHNEIDER ELECTRIC FRANCE,2234,Client,2, RUE DU PONT VERT,ZAC LE VILLAGE PARC IND.,,27100,LE VAUDREUIL
ATA LOGISTIQUE,15334,Client,Les Peupliers,ZAC Pharma Parc,,27100,LE VAUDREUIL
ATA TRANSPORTS,10413,Client,2 RUE DE LA COULINIERE,,,27100,LE VAUDREUIL
SHTP,11054,Client,25 RUE DU PONT VERT,,,27100,LE VAUDREUIL
APTAR FRANCE SAS,6835,Client,ROUTE DES FALAISES,,,27100,LE VAUDREUIL
COMPTOIR NOUVEAU DE LA PARFUMERIE,579,Client,4, RUE DU PONT VERT,,,27100,LE VAUDREUIL
C PLUS DIFFUSION,12046,Client,66 RUE BERNARD CHEDEVILLE,,,27100,LE VAUDREUIL
PHARMATEC PLASTIC SAS,8132,Client,ZAC PHARMAPARC,,,27100,LE VAUDREUIL
ALTIX,9628,Client,PARC D AFFAIRES DU VEXIN,CHAUSSEE DU VEXIN,,27100,VAL DE REUIL
LA POSTE PLATEFORME,5941,Client,PARC DES AFFAIRES,COLIPOSTE 270070,VOIE DU TESTELET,27100,VAL DE REUIL
TRIGO FRANCE,16034,Client,RUELLEDU COIN DES SAULS,HOTEL D ENTREPRISE ATELIER3 PARC DES SAULES,,27100,VAL DE REUIL
CENTRE DE DETENTION,5966,Client,CHAUSSEE DE L ANDELLE,LES VIGNETTES,,27100,VAL DE REUIL
BIOPACK,10452,Client,ROUTE DES FALAISES,PARC ACTIVITE LES PORTES,,27100,VAL DE REUIL
SOPREMA SAS,1256,Client,VOIE DU FUTUR,PARC D  AFFAIRES DES PORTES,,27100,VAL DE REUIL
PINSON PAYSAGE NORMANDIE,10483,Client,VOIE DES COUTURES,PARC D ACTIVITE DE LA ROUTE DES LACS,,27100,VAL DE REUIL
DUHAMEL LOGISTIQUE,8953,Client,2 VOIE DE L ORMET,PARC D ACTIVITES DU VAUVRAY,SITE 4,27100,VAL DE REUIL
DUHAMEL LOGISTIQUE,7542,Client,VOIE DU FUTUR,PARC D AFFAIRES DES PORTES,,27100,VAL DE REUIL
VARENNE GASTRONOMIE,7904,Client,VOIE BABEURRE,PARC DE LA FRINGALE,,27100,VAL DE REUIL
ELIOS,12312,Client,11 , voie du Testelet,Parc des Affaires des Portes,B�timent n�7,27100,VAL DE REUIL
ORANGE DATACENTER,13564,Client,7, VOIE DE L OREE,PARC DES AFFAIRES DES PORTES,,27100,VAL DE REUIL
APF INDUSTRIE,7345,Client,VOIE DES CLOUETS,PARC DES PORTES,,27100,VAL DE REUIL
CG CONSEIL,8496,Client,RUELLE DU COIN DES SAULES,PARC DES SAULES,,27100,VAL DE REUIL
EPIREUIL,14764,Client,84 RUE GRANDE,PLACE AUX JEUNES,,27100,VAL DE REUIL
ID VERRE,15234,Client,Les Hauts de Pr�s,Pole d agriculture Biologique,,27100,VAL DE REUIL
DUHAMEL LOGISTIQUE,13509,Client,88 VOIE DU TESTELET,SITE 5 ANNEXE,,27100,VAL DE REUIL
BRASSERIE DES 2 AMANTS,12624,Client,1 VOIE DES VENDAISES,SITE BIO DES HAUTS PRES,ZI DE ST PIERRE DU VAUVRAY,27100,VAL DE REUIL
JCL INGENIERIE,12767,Client,Parc d acitivit� les lacs,Voie des coutures,,27100,VAL DE REUIL
SCHENKER FRANCE,10283,Client,PARC D AFFAIRE DES PORTES,VOIE DU TESTELET,,27100,VAL DE REUIL
HBF,6686,Client,voie du futur,Zac parc affaires des portes,,27100,VAL DE REUIL
MAROQUINERIE DE NORMANDIE,12241,Client,2 RUE SAINTE MARGUERITE,,,27100,VAL DE REUIL
ALTITUDE INFRA. EXPLOITATION,14308,Client,2247 VOIE DE L OREE,,,27100,VAL DE REUIL
GROUPE CANDOR,15187,Client,9001 AVENUE DES METIERS,,,27100,VAL DE REUIL
OVOPHARM,11201,Client,9001 RUE DE DERY,,,27100,VAL DE REUIL
AUZOU CHOCOLAT,15194,Client,rle Coin des Saules,,,27100,VAL DE REUIL
SANOFI PASTEUR,12370,Client,ROUTE DE LERY,,,27100,VAL DE REUIL
VAL DISCOUNT,11980,Client,ROUTE DES FALAISES,,,27100,VAL DE REUIL
MAITRISE ET INOVATION IPACK,8817,Client,RUE COURTINE,,,27100,VAL DE REUIL
TRETEAUX DE FRANCE,15818,Client,rue de sarcelle,,,27100,VAL DE REUIL
AAC GLOBE EXPRESS,15794,Client,Rue du 10 mai 1981,,,27100,VAL DE REUIL
JV SERVICES,13277,Client,Voie Barbeurre,,,27100,VAL DE REUIL
KINEXYA,14502,Client,VOIE DE L OREE,,,27100,VAL DE REUIL
CONTINENTAL PHARMACEUTIQUE,13031,Client,VOIE DE LA CAVITATION,,,27100,VAL DE REUIL
EP DIS,4711,Client,VOIE DE LA CAVITATION,,,27100,VAL DE REUIL
HELIODIS,4268,Client,VOIE DU FUTUR,,,27100,VAL DE REUIL
TRANSPORTS HIRSCH,582,Client,VOIE OUVRAGE,,,27100,VAL DE REUIL
VALLOIS VAL DE SEINE,14183,Client,ZA DE LA COMMINIERE,,,27100,VAL DE REUIL
SANOFI PASTEUR,865,Client,PARC INDUST. D INCARVILLE,,,27100,VAL DE REUIL
ERLAB DFS,2320,Client,PARC D AFFAIRES DES PORTES,,,27100,VAL DE REUIL
CBEM,3650,Client,ZAC DES SAULES,,,27100,VAL DE REUIL
GEODIS CL PHARMA,2635,Client,ZI PHARMAPARC,,,27100,VAL DE REUIL
CHARLES CIP,214,Client,ZAC PARC D AFFAIRES DES PORTES- VOIE DU FUTUR,,,27100,VAL DE REUIL
VALDEPHARM,7496,Client,PARC INUSTR.D INCARVILLE,,,27100,VAL DE REUIL
MANOIR PITRES,729,Client,12 RUE DES ARDENNES,,,27100,VAL DE REUIL
HOOGTERP FRERES,4005,Client,2 ROUTE DE COQUEREL,,,27110,CROSVILLE LA VIEILLE
MAISON MAUGY,2696,Client,2, ROUTE D ELBEUF,,,27110,IVILLE
TBL TEILLAGE BRILLE,4360,Client,Z.I. DU RESSAULT,LAMERANT,,27110,LE NEUBOURG
BOCAGE AGRI,11519,Client,RUE DU RESSAULT,LES PUTEAUX,,27110,LE NEUBOURG
JOSSE,12855,Client,17 RUE PIERRE MENDES FRANCE,,,27110,LE NEUBOURG
BRICOFER,6966,Client,2 CHEMIN SAINT CELERIN,,,27110,LE NEUBOURG
PAGES ENTREPOTS,5819,Client,27 BIS,RUE OCTAVE-BONNEL,,,27110,LE NEUBOURG
EUROMASTER,11938,Client,441 ROUTE D ELBEUF - VITOT,,,27110,LE NEUBOURG
SOCOPA VIANDES,4952,Client,COURS SAINT PAUL,,,27110,LE NEUBOURG
APTAR FRANCE,1302,Client,LIEUDIT LE PRIEURE,,,27110,LE NEUBOURG
GAMET-LADNER,15239,Client,ROUTE D EPEGARD,,,27110,LE NEUBOURG
SDN,5488,Client,ROUTE DE LOUVIERS,,,27110,LE NEUBOURG
AJINOMOTO FROZEN FOOD FRANCE,1378,Client,ROUTE DE PONT DE L ARCHE,,,27110,LE NEUBOURG
COOP AGRICOLE DE TEILLAGE DU PLATEAU DU NEUBOURG,4655,Client,RTE DE LOUVIERS,,,27110,LE NEUBOURG
DU BOCAGE - VAUQUELIN,4618,Client,RUE DU RESSAULT,,,27110,LE NEUBOURG
LEPICARD AGRICULTURE,15960,Client,ZA DU RESSAULT,,,27110,LE NEUBOURG
MATERIAUX DUBOS,13122,Client,37 R.N. 13,,,27110,STE COLOMBE LA COMMANDERI
VAUQUELIN,12159,Client,13 RUE DES DRAPIERS,,,27110,VENON
VAUQUELIN FRERES,1309,Client,13, RUE DES DRAPIERS,,,27110,VENON
SETICO,6846,Client,RUE MAURICE DOUCET,,,27120,AIGLEVILLE
CROQ LA POMME,12083,Client,6 CHEMIN DE CROISY,,,27120,CAILLOUET ORGEVILLE
FROMAGERIES BOURSIN,115,Client,3 RUE SAINT AQUILIN,,,27120,CROISY SUR EURE
LESCURE THEOL,5198,Client,HAMEAU DE BRECOURT,LA MARE A JOUY,,27120,DOUAINS
GAMILLY PEINTURE GP3R,14162,Client,3 RUE DU BRIGADIER CHEF J POMOTHY,,,27120,DOUAINS
MAC ARTHUR GLEN,15413,Client,Av. du Capitaine Vandi�re de Vitrac,,,27120,DOUAINS
ATELIER BRUNETTE,14096,Client,RUE DE L ESCADRON DES CRACKS,,,27120,DOUAINS
TSCE,5739,Client,ZA ROUTE DE GARENNES,,,27120,FAINS
ACN,12213,Client,6 ROUTE DE PACY,,,27120,GADENCOURT
STEPHANE PETROZ,14980,Client,50 RUE DU BOUT DE BAS,,,27120,JOUY SUR EURE
BASF AGRO,14840,Client,18 RUE DE LA FOSSE CORBIN,,,27120,LE PLESSIS HEBERT
CONDIOUEST,5690,Client,19 TER RUE AUX HONFROY,,,27120,MENILLES
GL2 HABITAT,14370,Client,10 ROUTE DU 18 JUIN 1940,ZONE COMMERCIALE INTERMARCHE,,27120,PACY SUR EURE
CS FRANCE,1281,Client,135 RUE EDOUARD ISAMBARD,,,27120,PACY SUR EURE
SCHNEIDER TOSHIBA INVERTER EUROPE,10542,Client,33 RUE ANDRE BLANCHET,,,27120,PACY SUR EURE
SEM OLIVIER GRUCHY,10372,Client,4 RUE DE LA BRIQUETERIE,,,27120,PACY SUR EURE
CORREGE,6750,Client,RN 13 CHAIGNES,,,27120,PACY SUR EURE
PACY DISTRIBUTION,5663,Client,ROUTE DE PARIS,,,27120,PACY SUR EURE
FRANCE OFFSET TYPO,6056,Client,ROUTE DE PARIS,,,27120,PACY SUR EURE
CGTI,8339,Client,RUE ALBERT CAMUS,,,27120,PACY SUR EURE
FRAZZI,6747,Client,LE BUISSON DE MAY,,,27120,ST AQUILIN DE PACY
EURE CARROSSERIE INDUSTRIELLE,14539,Client,LES LANDES,,,27130,PISEUX
TRANSLYRE,14056,Client,ZA CHATEAU THIERRY,RN 12,,27130,VERNEUIL D AVRE ET D ITON
OSL - CENTRAKOR,15925,Client,514 RUE ARISTIDE BRIAND,,,27130,VERNEUIL D AVRE ET D ITON
RED SEA,6834,Client,655 RUE DES FRERES LUMIERE,,,27130,VERNEUIL DAVRE ET DITON
VERNEUIL DISTRIBUTION,12003,Client,N12,RUE ARISTIDE BRIAND,,27130,VERNEUIL SUR AVRE
ACTEMIUM MAINTENANCES PRESSES,10837,Client,RUE LOUIS DE BROGLIE,Z.I DE LA SAINT-DENIS,,27130,VERNEUIL SUR AVRE
TRANSPORTS BARREL,7034,Client,155 RUE GUSTAVE EIFFEL,ZI DU PONT ROUGE,,27130,VERNEUIL SUR AVRE
VERNEUIL BIERES BOISSONS,9249,Client,295 RUE GUSTAVE EIFFEL,,,27130,VERNEUIL SUR AVRE
OXYMETAL NORMANDIE,9877,Client,318 RUE GUSTAVE EIFFEL,,,27130,VERNEUIL SUR AVRE
VERNEUIL INOX,11053,Client,338 ROUTE DE FRANCHEVILLE,,,27130,VERNEUIL SUR AVRE
MAXILI,12220,Client,PARC D ACTIVITE DE LA SAINT DENIS,,,27130,VERNEUIL SUR AVRE
SN YABON VERNEUIL,12181,Client,Route du petit Mesnil,,,27130,VERNEUIL SUR AVRE
BRIMAVER,12442,Client,ROUTE NATIONALE 12,,,27130,VERNEUIL SUR AVRE
CAFES RICHARD NORMANDIE,5389,Client,RUE DES FRERES LUMIERE,,,27130,VERNEUIL SUR AVRE
CERP ROUEN GPE ASTENA,10247,Client,RUE JACQUARD,,,27130,VERNEUIL SUR AVRE
THEBAULT,6945,Client,RUE ROBERT ZAIGUES,,,27130,VERNEUIL SUR AVRE
APTAR FRANCE SAS,8220,Client,ZI RUE JACQUART,,,27130,VERNEUIL SUR AVRE
TDJ NORMANDIE,10950,Client,ZI RUE LAVOISIER,,,27130,VERNEUIL SUR AVRE
VS,5357,Client,182,PLACE DE LA MADELEINE,,,27130,VERNEUIL SUR AVRE
TRANSPORTS GUNST,6568,Client,PARC D ACT.DE LA ST DENIS,,,27130,VERNEUIL SUR AVRE
SAFET EMBAMET,11614,Client,ROUTE PORTE DE BRETEUIL,,,27130,VERNEUIL SUR AVRE
MINIAC,13928,Client,BRICOMARCHE,CHEMIN DEPARTEMENTAL 140,,27140,CONCHES EN OUCHE
GIFI,11253,Client,Z.C. LES TEMPLIERS,LIEU DIT LES LONGUES RAIE,,27140,GISORS
APAJH VSA GISORS,7220,Client,1 RUE DE LA HAUTE BORNE,,,27140,GISORS
CAPPEVILLE PIECES AUTO,12499,Client,3 ROUTE DE DELINCOURT,,,27140,GISORS
SMAL,11534,Client,35 RTE DE DELINQUOURT,,,27140,GISORS
BRILOAN BRICOMARCHE,13466,Client,CENTRE COMMERCIAL DES TEMPLIERS,,,27140,GISORS
PIGEON,12008,Client,LES LONGUES RAIES,,,27140,GISORS
ICP INTERFACE COSMETIQUES,1577,Client,ROUTE DE BOISGELOUP,,,27140,GISORS
SIMPLY MARKET,11674,Client,RUE ANNONCIADE,,,27140,GISORS
BRUNEL PNEUS,11617,Client,RUE DU PRE NATTIER,,,27140,GISORS
BONFILS,12769,Client,8 , rue  Saint Aubin,,,27150,DOUDEAUVILLE EN VEXIN
PAULSTRA,875,Client,2, RUE DE TURGOT,,,27150,ETREPAGNY
SAINT LOUIS SUCRE,9077,Client,ROUTE DE  GAMACHES,,,27150,ETREPAGNY
SAINT LOUIS SUCRE SAS,15402,Client,Route de Gamaches,,,27150,ETREPAGNY
CONDIVEX,10467,Client,Z.I. PORTE ROUGE,,,27150,ETREPAGNY
MARTEL,10914,Client,8 ROUTE DE DOUDEAUVILLE,,,27150,NOJEON EN VEXIN
CHAUDRONNERIE DEBOC MAINTENANCE,11343,Client,746 RUE GUILLAUME LE CONQUERANT,,,27160,BRETEUIL
PROMO DIFFUSION 27,15919,Client,RUE ALFRED PILLARD SOULLAIN,,,27160,BRETEUIL
FM MERLET,8389,Client,91, RUE DES IFS,,,27160,BRETEUIL SUR ITON
POLE VERT SOBERVAL,12412,Client,ZA DU CLOS FOUQUET RUE A PILLARD SOULAIN,,,27160,BRETEUIL SUR ITON
APAJH,6619,Client,3 ZA DE L ORME,,,27160,FRANCHEVILLE
LE COQ NORMAND,1765,Client,2 A RTE DE BEAUMONT,,,27170,BARQUET
LES TRINQUETS,9209,Client,2B ROUTE DE BEAUMONT,,,27170,BARQUET
EMC,15751,Client,RUE DU MONT ROTI,ZI SAINT LAURENT,,27170,BEAUMONT LE ROGER
SCMR,11206,Client,4 RUE DE BEAUMESNIL,,,27170,BEAUMONT LE ROGER
SCHNEIDER ELECTRIC FRANCE,2955,Client,6, RUE PONT AUX CHEVRES,,,27170,BEAUMONT LE ROGER
ICV,5212,Client,6, RUE SAINT SAUVEUR,,,27170,BEAUMONT LE ROGER
MTCP,8196,Client,CHEMIN DES PLANCHETTES,,,27170,BEAUMONT LE ROGER
DE BEAUMONTEL,6824,Client,1 R. DE BEAUMONT LA VILLE,,,27170,BEAUMONTEL
HEBERT PATRICE,3981,Client,RN 13,,,27170,ECARDENVILLE LA CAMPAGNE
BRISE SARL,7322,Client,6 RUE DES CHAMPS,,,27170,LE TILLEUL OTHON
NORMACHATS DEVELOPPEMENT,13940,Client,7 VOIE DE L ARTISANAT,PERRIERS LA CAMPAGNE,,27170,NASSANDRES SUR RISLE
HDE SERVICES,15783,Client,9 VOIE DE L ARTISANAT ZONE DE FEUGUEROLLES,,,27170,NASSANDRES SUR RISLE
LA FERME DU GROHAN,13488,Client,484 CHEMIN DU RONDEL,HAMEAU DE GAREL,,27180,LES BAUX STE CROIX
LBTA,3844,Client,5, RUE DES BRUYERES,,,27180,LES VENTES
HOLY DROP PRODUCTION,13762,Client,6 CHEMIN D AVIRON,,,27180,PARVILLE
JP2B DECORATION,12267,Client,6 RN 13,,,27180,PARVILLE
U EXPRESS,11803,Client,1643 ST SEBASTIEN DE MORSENT,CCIAL DU VERT VILLAGE,,27180,ST SEBASTIEN DE MORSENT
BONG,8895,Client,1 RUE EUGENE HERMANN,,,27180,ST SEBASTIEN DE MORSENT
JEHENNE,4438,Client,ZI DES FONTENNELLES,,,27190,CONCHES
TERRE DE LIN,15557,Client,ZI N�2,Lieu dit les Pistes,,27190,CONCHES EN OUCHE
SPACEP,5837,Client,ZONE COMMERCIALE,RUE FRANCOIS MITTERAND,,27190,CONCHES EN OUCHE
TFS,15540,Client,RUE DES GENETS,ZI LES FONTENELLES,,27190,CONCHES EN OUCHE
DGL DECOUPAGE EMBOUTISSAGE,15716,Client,LE BOIS D ANJOU,,,27190,CONCHES EN OUCHE
SCN,1154,Client,ROUTE DE LOUVIERS,,,27190,CONCHES EN OUCHE
MATCO FRANCE,2892,Client,Z.I. RTE DE LOUVIERS,,,27190,CONCHES EN OUCHE
LBL,9368,Client,LES CHAMPS RIOU,ZONE ARTISANALE,,27190,LA BONNEVILLE SUR ITON
BLIN MARCEL,5887,Client,ZA CHAMPS RIOUX,,,27190,LA BONNEVILLE SUR ITON
EUROMASTER,11939,Client,11 RUE DE LA GARENNE,,,27200,ST MARCEL
ARIANE GROUPE FUSEES,1175,Client,,FORET DE VERNON,,27200,VERNON
ROWENTA FRANCE,1042,Client,4, RUE DU VIROLET,,,27200,VERNON
SARL OSL - CENTRAKOR,15926,Client,6 AVENUE ILE DE FRANCE,,,27200,VERNON
3944 VERNON POINT P,1582,Client,81 AV DE ROUEN,,,27200,VERNON
VERMADIS - CENTRE E LECLERC,684,Client,BLD JEAN JAURES,,,27200,VERNON
ARIANE GROUP SAS,12151,Client,FORET DE VERNON,,,27200,VERNON
SMURFIT KAPPA FRANCE,1745,Client,17 RUE DE L INDUSTRIE,,,27200,VERNON
FCS 27,9071,Client,AVENUE DU 46EME ROYAL COMMANDO,ZAC N�2,,27210,BEUZEVILLE
CARREFOUR MARKET,10712,Client,273 RUE ALBERT SOREL,,,27210,BEUZEVILLE
SOCIETE NOUVELLE POULINGUE,15857,Client,645 RUE DU LION,,,27210,BEUZEVILLE
SYSTEME U NORD OUEST BEUZEVIL,1088,Client,CAMPAGNE DU RANG MARE,,,27210,BEUZEVILLE
TRANSPORTS METOT,1543,Client,HAMEAU DE LA CARELLERIE,,,27210,BEUZEVILLE
INTERMARCHE ATOLL,10888,Client,RTE D EPAIGNES,,,27210,BEUZEVILLE
POULINGUE CONSTRUCTION,961,Client,ZA 3 LA CARRELLERIE,,,27210,BEUZEVILLE
BANIC,12890,Client,ZA LA CARRELERIE,,,27210,BEUZEVILLE
IDEAFORM,11603,Client,ZAC N�3 LA CARELLERIE,,,27210,BEUZEVILLE
PASQUET DIFFUSION,2201,Client,37 AVENUE ALAIN GOSSUIN,ZI LE MOULIN A VENT,,27210,BOULLEVILLE
NORSILK,5607,Client,LA COUR MARTIN,,,27210,BOULLEVILLE
BIEN ETRE,15284,Client,494 RTE DE LA JUDEE,,,27210,CONTEVILLE
PRENTOUT,2700,Client,1654 ROUTE DE LA MORELLE,VILLAGE D EQUAINVILLE,,27210,FIQUEFLEUR EQUAINVILLE
GASTEBOIS,3625,Client,93 RUE VANNEE,,,27210,ST MACLOU
TRANSPORTS CAPELLE,8312,Client,9 RUE VANNEE,LA LISSONNIERE,,27210,ST MACLOU
SEFOB,3896,Client,503 RUE VANNEE,,,27210,ST MACLOU
BRANGEON TRANSPORTS,12539,Client,ROUTE DES INDUSTRIES,,,27210,ST MACLOU
EURE METAL,4283,Client,30, RUE DU BOIS DE LA,VIGNE,,27220,CHAVIGNY BAILLEUL
PRESSOIR DE NORMANDIE,10043,Client,1 ROUTE D AVRILLY,LA PERRUCHE,,27220,GROSSOEUVRE
SERVALY,8037,Client,ZONE ARTISANALE,,,27220,GROSSOEUVRE
BERNARD,2805,Client,12 ROUTE DE DAMVILLE,,,27220,ST ANDRE DE L EURE
TREUIL MENUISERIE BATIMENT,6430,Client,ROUTE JUMELLES,,,27220,ST ANDRE DE L EURE
SOFRASTOCK,1620,Client,RTE DES AERODROMES,,,27220,ST ANDRE DE L EURE
ECO CONSTRUCTION G,15353,Client,Rue de la mare chanceuse - ZAC de la Croix Prunelle,,,27220,ST ANDRE DE L EURE
L ADAPT EURE ESAT,7213,Client,ZAC DE LA CROIX PRUNELLE,,,27220,ST ANDRE DE L EURE
INNOVER,15770,Client,6 ROUTE D ORBEC,,,27230,LA CHAPELLE HARENG
SNOP,747,Client,22, ROUTE DE LISIEUX,,,27230,THIBERVILLE
AGRIAL - THIBERVILLE,13201,Client,29 ROUTE DE CORMEILLES,,,27230,THIBERVILLE
LETHRONE,5347,Client,19 RUE DU BLE,,,27240,AVRILLY CHAMBOIS
ETS LECOLLIER,13425,Client,8 RUE DE LA SOLIDARITE,CORNEUIL,,27240,CHAMBOIS
GROUPE HENRY PIERRE,1387,Client,CHEMIN DE LA GARENNE,,,27240,DAMVILLE
SIKA FRANCE,7896,Client,RTE DE NONANCOURT,,,27240,DAMVILLE
TRIPLEBARSEVEN,14803,Client,763 RUE DES MINEURS,,,27240,MESNILS SUR ITON
KINEXYA,10491,Client,ZA DU COUDRAY,LE POT DE FER,,27240,SYLVAINS LES MOULINS
BLERY MATERIELS,5440,Client,LE POT DE FER,ZONE DU COUDRAY,,27240,SYLVAINS LES MOULINS
CALISTE MARQUIS,7314,Client,ZONE INDUSTRIELLE DE L ECUREUIL,,,27250,AMBENAY
UMERIC,13399,Client,ZA LE PETIT HANOY,,,27250,RUGLES
