Nom,Code,Type,Adresse 1,Adresse 2,Adresse 3,CP,Ville
CAVES DES GRANDS CEPAGES,14619,Client,90 RUE NICOLAS DULONG,,,14100,LISIEUX
SGVI,8839,Client,ROUTE DE CORMEILLES,,,14100,LISIEUX
LA MAISON. FR - LISIEUX,13181,Client,RUE JOSEPH GUILLONNEAU,,,14100,LISIEUX
EUROPE METAL FIL,9759,Client,ZI RUE EDOUARD BRANLY,,,14100,LISIEUX
CENTRE HOSPITALIER ROBERT BISSON,7433,Client,4 RUE ROGER AINI,,,14100,LISIEUX
EQUIP HORSE,4934,Client,RN 13,,,14100,MAROLLES
DOMAINE DES 5 D,11134,Client,CHEMIN DE MANERBE,CIDRERIE DAUFRESNE,,14100,OUILLY LE VICOMTE
GEMELINK LOCATION,13926,Client,ZA LE GRAND CLOS,RUE DE LA LIBERATION,,14100,ST DESIR
QUAD MDS,15689,Client,146 RUE DE L OPPIDUM,,,14100,ST DESIR
SUPER U,13885,Client,RUE SAINT JACQUES,RD 562 CONDE-SUR-NOIREAU,,14110,CONDE EN NORMANDIE
IMPRIMERIE TONNELLIER,13799,Client,ZA CHARLES TELLIER,RUE DES DRAGONS,,14110,CONDE EN NORMANDIE
DISTRICO - CONDE SUR NOIREAU,13161,Client,ROUTE DE VIRE,,,14110,CONDE EN NORMANDIE
EHPAD,6845,Client,87 RUE ST MARTIN,,,14110,CONDE SUR NOIREAU
ESAT LES TILLEULS,13716,Client,PLACE DU CHAMPS DE FOIRE,,,14110,CONDE SUR NOIREAU
CORLET NUMERIQUE,8654,Client,ZA CHARLES TELLIER,,,14110,CONDE SUR NOIREAU
CORLET IMPRIMEUR,3982,Client,ZI - ROUTE DE VIRE,,,14110,CONDE SUR NOIREAU
SONORCO,3819,Client,ZI OUEST ROUTE DE VIRE,,,14110,CONDE SUR NOIREAU
JIPE DEPANNAGE,7974,Client,CHEMIN DES CARREAUX,ZA LE MESNIL,,14111,LOUVIGNY
CAEN FROID,3342,Client,LE MESNIL DE LOUVIGNY,ZONE D ACTIVITE,,14111,LOUVIGNY
ART SCENIQUE,4203,Client,16 LONGUE VUE DES ARCHITECTES,,,14111,LOUVIGNY
BARTASSOT,15709,Client,LA BIJUDE,,,14112,BIEVILLE BEUVILLE
MARY MOTOS,13795,Client,PARC D ACTIVITE DE LA BIJUDE,,,14112,BIEVILLE BEUVILLE
IP-OR,14388,Client,2 RTE DE LONGUES,,,14117,TRACY SUR MER
LITT DIFFUSION AGENCE DE CAEN,7962,Client,ZI SUD CORMELLES LE ROYAL,8 RUE AMPERE,,14120,MONDEVILLE
GLOBAL LOCATION,14239,Client,16 RUE DES FRERES LUMIERES,CHEZ TRANSPORT LAMBERT,,14120,MONDEVILLE
LA GUERANDIERE,7093,Client,CENTRE COMMERCIAL,ESPACE BEBE 9,,14120,MONDEVILLE
DECATHLON,15672,Client,RD230,LES CARANDES,,14120,MONDEVILLE
NOYON TRANSPORTS,5831,Client,ZA DE LA VALLEE BARREY,ROUTE DE PARIS,,14120,MONDEVILLE
14 EXPRESS,5442,Client,ZA DE LA VALLEE BARREY,RUE DE L EUROPE,,14120,MONDEVILLE
NOYON LOGISTIQUE,3126,Client,ROUTE DE PARIS,Z.A. DE LA VALLEE BARREY,,14120,MONDEVILLE
PENET PLASTIQUES,14275,Client,4 RUE DES CHASSEURS,ZA EST,,14120,MONDEVILLE
FRAZZI,11041,Client,43 Rue Pasteur,ZA Viaduc de Calix,,14120,MONDEVILLE
NL LOGISTIQUE,4397,Client,18 rue Abo Volo,ZAC EST,,14120,MONDEVILLE
TFP,15528,Client,16 RUE DES FRERES LUMIERES,ZI SUD,,14120,MONDEVILLE
SODIMAVI,15026,Client,27 RUE DES FRERES LUMIERE,ZI SUD,,14120,MONDEVILLE
MASTER PIERRE - AD COLYSEE,11099,Client,14 RUE ABO VOLO,,,14120,MONDEVILLE
LAMBERT TRANSPORTS,10410,Client,16 RUE DES FRERES LUMIERES,,,14120,MONDEVILLE
NORMANDIE ELISE,15369,Client,19 RUE NICEPHORE NIEPCE,,,14120,MONDEVILLE
FILT 1860,10824,Client,2 RUE ADA LOVELACE,,,14120,MONDEVILLE
CAMPUS FORMATION,9965,Client,21 RUE DES FRERES LUMIERE,,,14120,MONDEVILLE
LES RESTOS DU COEUR,13745,Client,28 RUE GASTON LAMY,,,14120,MONDEVILLE
MONDEVAL,13228,Client,292 RUE JACQUARD,,,14120,MONDEVILLE
STAT,7013,Client,41 RUE PASTEUR,,,14120,MONDEVILLE
SOGEA NORD OUEST TP,14662,Client,41 RUE PASTEUR,,,14120,MONDEVILLE
CARTER-CASH,14316,Client,45 RUE PIERRE MENDES FRANCE,,,14120,MONDEVILLE
LEE COOPER,15988,Client,5 RUE NICEPHORE NIEPCE,,,14120,MONDEVILLE
LA CASE A BIERES,15001,Client,52 ROUTE DE PARIS,,,14120,MONDEVILLE
DTS DEMENAGEMENT,12411,Client,55 RUE CHARLES DE COULOMB,,,14120,MONDEVILLE
SNEF AGENCE DE CAEN,10987,Client,6 RUE JACQUES DAGUERRE,,,14120,MONDEVILLE
THOMAS SELLERIE AUTOMOBILE,4666,Client,6 RUE JAMES JOULE,,,14120,MONDEVILLE
NORMANDIE EMBALLAGES,3319,Client,7 RUE ADA LOVELACE,,,14120,MONDEVILLE
MONDEVILLE DISTRIBUTION,16038,Client,7 Rue Emile Zola,,,14120,MONDEVILLE
SUPER U,14223,Client,7 RUE EMILE ZOLA,,,14120,MONDEVILLE
FRANCOFA EURODIS,15848,Client,8 RUE ABO VOLO,,,14120,MONDEVILLE
CAEN DIFFUSION,15915,Client,CENTRE COMMERCIAL MONDEVILLAGE,,,14120,MONDEVILLE
SOFRILOG ENTREPOTS CAEN - DTE,7881,Client,QUAI DE CALIX,,,14120,MONDEVILLE
SOFRILOG TPS CAEN - GAUCHE,12910,Client,QUAI DE CALIX,,,14120,MONDEVILLE
NORMANDIE EMBALLAGES,14709,Client,RUE ADA LOVELACE,,,14120,MONDEVILLE
FAPRELEC,10723,Client,RUE CHARLES DE COULOMB,,,14120,MONDEVILLE
FORGET FORMATION,9532,Client,RUE DES FRERES LUMIERE,,,14120,MONDEVILLE
CSI,14365,Client,RUE HENRI SPRIET,,,14120,MONDEVILLE
CARREFOUR SUPPLY CHAIN,5303,Client,ZI  ROUTE DE PARIS,,,14120,MONDEVILLE
CEDEO,10143,Client,COURS MONTALIVET,,,14120,MONDEVILLE
ROBERT BOSCH ELECTRONIQUE,3525,Client,15 RUE CHARLES DE COULOMB,,,14120,MONDEVILLE
REXEL CENO,3061,Client,RUE GEORGES CLAUDE,,,14120,MONDEVILLE
SODERECO,15679,Client,35 BD DE L ESPERENCE,ZA JEAN MONTELET,,14123,CORMELLES LE ROYAL
TRANSCAL LOGISTIQUE,13234,Client,1 BOULEVARD DE L ESPERANCE,ZI DE L ESPERANCE,,14123,CORMELLES LE ROYAL
TRANSCAL,13182,Client,2 RUE AMPERE,,,14123,CORMELLES LE ROYAL
LJFR CHEMINEES,15622,Client,6B BOULEVARD DE L ESPERANCE,,,14123,CORMELLES LE ROYAL
CGL ISOLATION,10679,Client,7 RUE AMPERE,,,14123,CORMELLES LE ROYAL
KEOLIS CAEN MOBILITES,13440,Client,Rue Louis Michel,D�pot Tram,,14123,FLEURY SUR ORNE
AUCHAN SUPERMARCHE SAS,15411,Client,1 ROUTE DE THURY HARCOURT,,,14123,FLEURY SUR ORNE
3874 FLEURY S/ORNE POINT P,8234,Client,1 RUE DES CARRIERS,,,14123,FLEURY SUR ORNE
CHEMINEES COLIN,7989,Client,16 RUE DU QUADRANT,,,14123,FLEURY SUR ORNE
FLEURY PRICE,15222,Client,2 AV D HARCOURT,,,14123,FLEURY SUR ORNE
ONET SERVICES,14432,Client,230 AVENUE DES DIGUES,,,14123,FLEURY SUR ORNE
AGENIAA,13262,Client,544 AVENUE DES DIGUES,,,14123,FLEURY SUR ORNE
DEFIBAT,13391,Client,642 Avenue des Digues,,,14123,FLEURY SUR ORNE
MEUBLES IKEA FRANCE,10309,Client,970 BLD DE LA SUISSE NORMANDE,,,14123,FLEURY SUR ORNE
PH ENERGIES,12493,Client,AVENUE DES DIGUES,,,14123,FLEURY SUR ORNE
LEADER PRICE,13133,Client,ROUTE D HARCOURT,,,14123,FLEURY SUR ORNE
GARCZYNSKI TRAPLOIR,3759,Client,ZAC OBJECT IFS SUD,860 BLD CHARLES CROS,,14123,IFS
STEF TRANSPORT IFS,11207,Client,ZAC OBJECT IFS SUD,BOULEVARD CLEMENT ADER,,14123,IFS
TORCHIO - IFS,13687,Client,661 BLVD CHARLES CROS,CITYFS,,14123,IFS
DACIANE,12933,Client,750 BLD CHARLES CROS,ESPACE INCLUS IFS,,14123,IFS
NORMANDIE BOISSONS,15755,Client,500 BD CHARLES CROS,LA MINUTE BLONDE,,14123,IFS
IFS DISTRIBUTION - E LECLERC,12600,Client,190 ROUTE DE ROCQUANCOURT,ROCADE SUD,,14123,IFS
JCS HYGIENE - AGENCE IFS,15514,Client,2 ALLEE EMILIE DU CHATELET,ZA OBJECT IFS SUD,,14123,IFS
CEDEO IFS,3007,Client,RUE DE ROCQUANCOURT,ZA ROUGEMONT,,14123,IFS
CHATEL LOGISTIQUE,2938,Client,1600 BLD CHARLES CRO,ZAC OBJECT  IFS SUD,,14123,IFS
COBICO,9567,Client,350 BLD CLEMENT ADER,ZAC OBJECT IFS SUD,,14123,IFS
PETIT FORESTIER LOCATION,5153,Client,8 ALLEE EMILLE DU CHATELET,ZAC OBJECTIF SUD SECTEUR OUEST,SITE DE CAEN,14123,IFS
ZOLPAN OUEST,9135,Client,RUE PAUL BOUCHERET,ZI DE ROQUANCOURT,,14123,IFS
PLASTIFORM,13482,Client,RUE PAUL BOUCHEROT,ZI OBJECTIF SUD,,14123,IFS
FLASH TAXICOLIS SAS,14386,Client,BOULEVARD CHARLES SAURIA,ZONE OBJECT IFS SUD,,14123,IFS
TRANSPORTS NICOLLE,7678,Client,1600 BLD CHARLES CROS,,,14123,IFS
HUBERT MENUISERIE,8819,Client,4 RUE DES BOURRELIERS,,,14123,IFS
FRITEC,13842,Client,600 BLD CROS,,,14123,IFS
CNB PROFIL,15318,Client,700 BLD CHARLES CROS,,,14123,IFS
INITIAL,13879,Client,700 BOULEVARD CHARLES CROS,,,14123,IFS
CEPROLOC,12047,Client,731 ROUTE DE FALAISE,,,14123,IFS
CESR PRO,9918,Client,731 ROUTE DE FALAISE,,,14123,IFS
AUDERA  AUDI,8962,Client,8  RUE ALFRED NOBEL,,,14123,IFS
ASPHALT SPIRIT,14150,Client,941 BOULEVARD CHARLES CROS,,,14123,IFS
IFS DIS - SUPER U,13319,Client,AVENUE JEAN VILAR,,,14123,IFS
EDF PRODUCTION TRANSPORT,3292,Client,CARREFOUR DE BRAS,,,14123,IFS
LA PASSERELLE VERTE,7978,Client,RTE DE ROCQUANCOURT,,,14123,IFS
MAITRES LAITIERS DISTRIB�,4145,Client,RUE ALFRED NOBEL,,,14123,IFS
DISTRITEC,15021,Client,RUE MADELEINE BRES,,,14123,IFS
FIMMA,5374,Client,ZAC DE ROCQUANCOURT,,,14123,IFS
CALVADOS CHRISTIAN DROUIN,7341,Client,N�18095,ROUTE RD 677,,14130,COUDRAY RABUT
BRASSERIE SAGESSE,15698,Client,4 RUE ANDRE DRUELLE,,,14130,LE BREUIL EN AUGE
CANTREL ASSISTANCE,12313,Client,7 RUE DE LAPLACE,ZA DE LAUNAY,,14130,PONT L EVEQUE
DELALANDE,6494,Client,12 RUE DE L HIPPODROME,,,14130,PONT L EVEQUE
POINT P - PONT L EVEQUE,15242,Client,5 RUE DE L HIPPODROME,,,14130,PONT L EVEQUE
LB TRAITEUR - DLA,9577,Client,PARC D ACTIVITES DE LAUNAY,,,14130,PONT L EVEQUE
SEVILA - NETTO,3221,Client,ROUTE DE ROUEN,,,14130,PONT L EVEQUE
ROMA NORMANDIE,12925,Client,ZAC GRIEU,,,14130,PONT L EVEQUE
SPIRIT FRANCE DIFFUSION,7112,Client,RD 675,ZA DE REUX,,14130,REUX
BOISSEL PERE ET FILS,15707,Client,370 ROUTE DE LA GARENNE,,,14130,ST ANDRE D HEBERTOT
AEROPORT DE DEAUVILLE,15235,Client,CCI TERRITORIALE SEINE ESTUAIRE,,,14130,ST GATIEN DES BOIS
NORMANDY PROTEINS,15412,Client,2 BOULEVARD ROBERT PIQUET,,,14140,LIVAROT PAYS D AUGE
DISTRICO - LIVAROT,13184,Client,BOULEVARD SOUTH MOLTON,,,14140,LIVAROT PAYS D AUGE
FERME DU BEL AIR,15961,Client,BEL AIR,,,14140,ST PIERRE EN AUGE
CPO,10892,Client,RUE DE LA CRETE AU COQ,,,14150,OUISTREHAM
FRANCE DISTIBUTION,5510,Client,ZAC DES GRANDS PRES,AVENUE DE LA LIBERTE,,14160,DIVES SUR MER
PIERRE ET FILS BAGNOLET DUPONT LA VIGNERIE,11720,Client,17 RUE DE LA VIGNERIE,,,14160,DIVES SUR MER
SAS DES DUNES,10226,Client,AVENUE DES RESISTANTS,,,14160,DIVES SUR MER
SUPER U-VALMA DISTRIBUTION,16039,Client,BD THOREZ MAURICE,,,14160,DIVES SUR MER
PIMPANT,15819,Client,BOULEVARD MAURICE THOREZ,,,14160,DIVES SUR MER
POMMIER DIVES,3332,Client,Z.I. DE LA VIGNERIE,,,14160,DIVES SUR MER
SOCIETE FROMAGERE DE JORT,1485,Client,LE BOURG,,,14170,BERNIERES D AILLY
LES FROMAGERS DE TRADITION FROMAGERIE THEBAULT,10326,Client,LA HOUSSAYE,,,14170,BOISSEY
CIBEM SAINT PIERRE,3075,Client,RUE DES ABATTOIRS,ST PIERRE SUR DIVES,,14170,ST PIERRE EN AUGE
PNEUS LELIEVRE,14260,Client,ZI 25 ROUTE DE CANE,,,14170,ST PIERRE EN AUGE
FROMAGERE DE ST PIERRE EN AUGE,13661,Client,LE CAREL,,,14170,ST PIERRE SUR DIVES
AGRIAL - ST PIERRE SUR DIVES,13197,Client,ROUTE DE LIEURY,,,14170,ST PIERRE SUR DIVES
BRANGEON LOGISTIQUE,9171,Client,ZI - RTE DE CAEN,,,14170,ST PIERRE SUR DIVES
AGRIAL - VENDEUVRE,13206,Client,LES VIGNETTES,,,14170,VENDEUVRE
PLK SPECTACLES,6399,Client,RUE VARIN,,,14190,FONTAINE LE PIN
AGRIAL - ST SYLVAIN,13199,Client,RUE DE MONTSAUTREUIL,,,14190,ST SYLVAIN
CENTRE DRAMATIQUE NATIONAL DE NDIE,4063,Client,THEATRE D HEROUVILLE,1,SQUARE DU THEATRE,,14200,HEROUVILLE ST CLAIR
LARIVIERE AGENCE DE CAEN,7313,Client,ZI LA SPHERE,196 RUE LEON FOUCAULT,,14200,HEROUVILLE ST CLAIR
FACIL & CIE GCV,7879,Client,RUE DE LA DARSE,BATIMENT K6C,,14200,HEROUVILLE ST CLAIR
SOHERDIS,9592,Client,14 PROMENADE DES SQUARES,CARREFOUR CITY,,14200,HEROUVILLE ST CLAIR
OTB OCEAN TERRE BIOTECHNOLOG.,5477,Client,11 13 RUE NEWTON,DEPARTEMENT HYGENA,,14200,HEROUVILLE ST CLAIR
AGRIAL - HEROUVILLE ST CLAIR,3085,Client,SERVICES  SEMENCES,QUAI DELAUNAY,,14200,HEROUVILLE ST CLAIR
ALLIANCE HEALTHCARE REPART�,10080,Client,4 RUE SOPHIA ANTIPOLIS,ZAC DU CITIS,,14200,HEROUVILLE ST CLAIR
ALCURA FRANCE,8382,Client,46 RUE LEON FOUCAULT,ZI DE LA SPHERE,,14200,HEROUVILLE ST CLAIR
PHOENIX OCP,8081,Client,785 RUE L FOUCAULT,ZI DE LA SPHERE,,14200,HEROUVILLE ST CLAIR
OMNIPESAGE CAEN,5105,Client,4 RUE ATALANTE,ZONE DU CITIS,,14200,HEROUVILLE ST CLAIR
BIOCOOP,12239,Client,1 RUE Louis PASTEUR,,,14200,HEROUVILLE ST CLAIR
ELDIM,12491,Client,1185 RUE D EPRON,,,14200,HEROUVILLE ST CLAIR
AUCHAN SUPERMARCHE,14584,Client,2 AVENUE DE GARBSEN,,,14200,HEROUVILLE ST CLAIR
CENEXI HSC,3799,Client,2, RUE LOUIS PASTEUR,,,14200,HEROUVILLE ST CLAIR
